id,question,A,B,C,D,solution,category,difficulty
1611,"In E₁ elimination, the major alkene product is:",the more substituted alkene,the less substituted alkene,always terminal,cyclic,A,university,medium
1612,Conjugation of α-hydrogens increases their:,acidity,basicity,neutral stability,volatility,A,university,medium
1613,A 0.1 M NH₄Cl solution has a pH:,<7,7,>7,depends,A,university,medium
1614,Which species is isoelectronic with Ar?:,Cl⁻,K⁺,Ca²⁺,all of these,A,university,medium
1615,Dalton’s law states:,P_total = ΣP_i,PV = nRT,V ∝ T,P ∝ n,A,university,medium
1616,Freezing-point depression ΔTf is given by:,Kf·m,Kb·m,Kf/m,m/Kf,A,university,medium
1617,Osmotic pressure Π equals:,MRT,MRM,R/MT,MT/R,A,university,medium
1618,"According to Le Châtelier, adding product shifts equilibrium:",left,right,no change,to completion,A,university,medium
1619,"If Q > K, the reaction shifts:",toward reactants,toward products,stays,suddenly,A,university,medium
1620,Hess’s law allows calculation of ΔH° by:,summing reaction enthalpies,direct measurement only,calorimetry,bond energies,A,university,medium
1621,"When a gas condenses to liquid, ΔS:",decreases,increases,zero,infinite,A,university,medium
1622,ΔG spontaneity is determined by:,ΔG = ΔH − TΔS,ΔH = ΔG + TΔS,ΔS = ΔH − TΔG,ΔG = TΔS − ΔH,A,university,medium
1623,"For heterogeneous equilibria, Kc excludes:",pure solids,pure liquids,gases,all species,A,university,medium
1624,pKa + pKb for a conjugate pair equals:,14,7,0,variable,A,university,medium
1625,Fajans’ rules predict:,ionic/covalent character,melting point,color,odor,A,university,medium
1626,Lattice energy generally:,increases as ionic radius decreases,increases with radius,independent,decreases with charge,A,university,medium
1627,The oxidation number of Cr in Cr₂O₇²⁻ is:,6,3,2,4,A,university,medium
1628,A galvanic cell can be written as:,Zn|Zn²⁺||Cu²⁺|Cu,Cu|Cu²⁺||Zn²⁺|Zn,Pt|H₂|H⁺||Ag⁺|Ag,Ni|Ni²⁺||Fe²⁺|Fe,A,university,medium
1629,The Nernst equation is:,E = E° − (RT/nF) ln Q,E = E° + (RT/nF) ln Q,E = RT ln K,E = E°/Q,A,university,medium
1630,"In dilute solution, activity ≈:",concentration,pressure,moles,volume,A,university,medium
1631,Henry’s law states solubility ∝:,partial pressure,temperature,volume,density,A,university,medium
1632,Raoult’s law states:,P_solvent = X_solvent·P°,P_solvent = X_solute·P°,P_total = P°/X,P = nRT/V,A,university,medium
1633,Boiling-point elevation ΔTb is given by:,Kb·m,Kf·m,m/Kb,Kb/m,A,university,medium
1634,The triple point on a phase diagram is where:,all three phases coexist,only solid/liquid,only vapor/liquid,none,A,university,medium
1635,Activation energy is:,the barrier between reactants and transition state,ΔH,ΔG,ΔS,A,university,medium
1636,A catalyst increases rate by:,lowering activation energy,raising ΔG,consuming reactants,increasing T,A,university,medium
1637,A reaction with ΔG < 0 is:,spontaneous,nonspontaneous,at equilibrium,impossible,A,university,medium
1638,The van der Waals equation corrects for:,molecular volume & forces,ΔH & ΔS,partial pressure,kinetic energy,A,university,medium
1639,Graham’s law: rate ∝:,1/√M,√M,M,1/M,A,university,medium
1640,Fractional distillation separates by:,relative volatility,polarity,size,adsorption,A,university,medium
1641,"In TLC, Rf =:",distance solute/distance solvent front,vice versa,height,width,A,university,medium
1642,Aromatic protons appear at:,~7 ppm,~1 ppm,~0 ppm,~10 ppm,A,university,medium
1643,Aldehyde protons appear at:,9–10 ppm,1–2 ppm,5 ppm,12 ppm,A,university,medium
1644,C=O stretches in IR at:,1700 cm⁻¹,3300 cm⁻¹,2250 cm⁻¹,1500 cm⁻¹,A,university,medium
1645,Broad O–H stretches in IR at:,3300 cm⁻¹,1700 cm⁻¹,2100 cm⁻¹,2850 cm⁻¹,A,university,medium
1646,Conjugated C=O absorb at:,1680 cm⁻¹,1700 cm⁻¹,1750 cm⁻¹,1600 cm⁻¹,A,university,medium
1647,Keto–enol tautomerization is:,acid/base catalyzed,heat only,light only,none,A,university,medium
1648,E/Z assignment uses:,CIP rules,IUPAC,Arrhenius,Avogadro,A,university,medium
1649,R/S configuration uses:,CIP priority,Nernst,Le Châtelier,Hess,A,university,medium
1650,"In Fischer, horizontal bonds:",project forward,project backward,in plane,are ionic,A,university,medium
1651,A meso compound is:,achiral despite stereocenters,always chiral,optically active,racemic,A,university,medium
1652,A racemic mixture:,equal enantiomers & optically inactive,rotates light,one enantiomer,achiral,A,university,medium
1653,Bathochromic shift means:,λmax moves longer,λmax shorter,intensity drops,no change,A,university,medium
1654,Nonstabilized Wittig yields:,Z-alkene,E-alkene,50/50,no reaction,A,university,medium
1655,Grignard reagents form by:,RX + Mg in ether,RX + Zn,RX + Li,RX + Pt,A,university,medium
1656,Grignards are destroyed by:,water,nitrogen,argon,oxygen,A,university,medium
1657,Hydroboration–oxidation gives:,anti-Markovnikov,Markovnikov,random,no addition,A,university,medium
1658,HBr addition to alkenes gives:,Markovnikov product,anti-Markovnikov,radical,none,A,university,medium
1659,E₁ requires:,tertiary substrate & weak base,strong base,radical initiator,acid only,A,university,medium
1660,E₂ requires:,strong base & anti-periplanar,acid,radical,heat,A,university,medium
1661,Pinacol rearrangement gives:,ketones,alcohols,ethers,alkanes,A,university,medium
1662,Beckmann rearrangement gives:,amides,nitriles,esters,acids,A,university,medium
1663,Baeyer–Villiger gives:,esters,alcohols,amides,alkanes,A,university,medium
1664,Diels–Alder favors:,endo products,exo,radical,ionic,A,university,medium
1665,Cope rearrangement is:,"[3,3]-sigmatropic","[1,5]-shift","[2,3]-shift",radical,A,university,medium
1666,Ozonolysis yields:,carbonyls,alkanes,alcohols,ethers,A,university,medium
1667,Ionization energy trend:,increases across period,decreases,constant,random,A,university,medium
1668,Atomic radius trend:,increases down group,decreases,constant,random,A,university,medium
1669,Electronegativity trend:,increases across,decreases,constant,random,A,university,medium
1670,Metallic character:,increases down group,decreases,random,none,A,university,medium
1671,Binary acid strength trend:,increases down group,decreases,same,random,A,university,medium
1672,Oxoacid acidity increases with:,number of oxygens,size,base,pH,A,university,medium
1673,CN⁻ is a:,strong field ligand,weak field ligand,medium ligand,non-ligand,A,university,medium
1674,H₂O is a:,weak field ligand,strong field ligand,medium ligand,non-ligand,A,university,medium
1675,Chelate effect leads to:,increased stability,decreased,same,unpredictable,A,university,medium
1676,HSAB: CN⁻ binds:,soft acids,hard acids,all,none,A,university,medium
1677,[Cu(H₂O)₆]²⁺ has CN:,6,4,2,8,A,university,medium
1678,CFSE influences:,color,solubility,odor,magnetism,A,university,medium
1679,CaCO₃ solubility increases in:,acidic solution,basic,neutral,organic,A,university,medium
1680,Metal hydroxides precipitate at:,high pH,low pH,neutral pH,depends,A,university,medium
1681,ΔHapprox =:,Σ bonds broken – Σ bonds formed,enthalpy,T°,pH,A,university,medium
1682,Bomb calorimeter measures:,ΔH_comb,m.p.,b.p.,pH,A,university,medium
1683,Equivalent weight of H₂SO₄ = M/2 because:,2 H⁺ per molecule,1,3,4,A,university,medium
1684,Normality =:,equivalents/L,mol/L,g/L,moles solvent,A,university,medium
1685,Molality differs from molarity as:,based on kg solvent,L solution,g solute,moles solute,A,university,medium
1686,"To neutralize an acid spill, use:",NaHCO₃,HCl,NaOH,acetone,A,university,medium
1687,Phenolphthalein range:,8.3–10,4–6,6–8,10–12,A,university,medium
1688,Burette should be rinsed with:,titrant solution,water,acid,base,A,university,medium
1689,Gravimetric analysis quantifies by:,mass of precipitate,volume of titrant,color,odor,A,university,medium
1690,Microwave heating:,accelerates reactions,decreases rate,no effect,inhibits,A,university,medium
1691,Green chemistry principle:,prevention of waste,disposal,waste generation,none,A,university,medium
1692,Which term symbol corresponds to the ground state of the carbon atom?,3P₀,3P₁,1D₂,5S₂,A,university,hard
1693,"According to Koopmans’ theorem, the ionization energy equals:",–ε_HOMO,–ε_LUMO,ε_HOMO,ε_LUMO,A,university,hard
1694,The Franck–Condon principle describes:,vertical electronic transitions,energy transfer by collisions,thermal equilibrium,vibrational relaxation,A,university,hard
1695,Which approximation neglects spin–orbit coupling in light atoms?,LS coupling,jj coupling,dielectric,adiabatic,A,university,hard
1696,The variational principle ensures that computed energies are:,an upper bound to true ground state energy,a lower bound,exact,zero,A,university,hard
1697,"In density functional theory, the Kohn–Sham orbitals reproduce the:",electron density,total energy,kinetic energy,entropy,A,university,hard
1698,The exchange–correlation functional in DFT accounts for:,electron exchange and correlation,nuclear repulsion,kinetic energy,spin coupling,A,university,hard
1699,Which molecular orbital is nonbonding in water?,oxygen lone pair,σ_CC,σ_CH,π_CC,A,university,hard
1700,"In Hartree–Fock theory, the Fock operator excludes:",electron correlation,electron exchange,kinetic energy,nuclear attraction,A,university,hard
1701,"In CIS (Configuration Interaction Singles), which excitations are included?",single excitations,double excitations,triple excitations,none,A,university,hard
1702,The CCSD method includes:,singles and doubles excitations,only singles,only doubles,none,A,university,hard
1703,Møller–Plesset perturbation theory (MP₂) estimates:,electron correlation,total mass,entropy,spin,A,university,hard
1704,The Wigner–Eckart theorem relates:,matrix elements and angular momentum coupling,kinetic energy and potential,pressure and volume,temperature and entropy,A,university,hard
1705,The Hellmann–Feynman theorem gives:,force on nuclei from electronic wavefunction,kinetic energy operator,spin–orbit coupling,exchange energy,A,university,hard
1706,Which basis set includes polarization functions?,6-31G*,STO-3G,MINIMAL,AUG-cc-pVDZ,A,university,hard
1707,A plane-wave basis set is commonly used in:,periodic solid-state calculations,molecular quantum chemistry,thermodynamics,kinetics,A,university,hard
1708,The time-dependent Schrödinger equation governs:,electronic excited-state dynamics,ground-state energy,statistical distribution,non-equilibrium thermodynamics,A,university,hard
1709,The Franck–Condon factor quantifies:,vibrational overlap integrals,electronic coupling,nuclear spin,nuclear fusion,A,university,hard
1710,"In Marcus theory, the activation energy for electron transfer depends on:",reorganization energy and driving force,solvent viscosity,pH,pressure,A,university,hard
1711,Which function describes the probability distribution in phase space?,Boltzmann distribution,Dirac delta,Fermi–Dirac,Bose–Einstein,A,university,hard
1712,The partition function Q relates to:,thermodynamic potentials,orbital energies,kinetic constants,entropies only,A,university,hard
1713,Maxwell’s relations derive from:,exact differentials of thermodynamic potentials,statistical fluctuations,Newton’s laws,quantum mechanics,A,university,hard
1714,The Boltzmann factor is:,exp(−E/kT),E/kT,ln(E/kT),exp(E/kT),A,university,hard
1715,"In the canonical ensemble, temperature is:",fixed,variable,infinite,zero,A,university,hard
1716,The Sackur–Tetrode equation gives:,entropy of an ideal monatomic gas,pressure of a gas,enthalpy for solids,free energy,A,university,hard
1717,The Gibbs paradox concerns:,entropy of mixing identical gases,combustion efficiency,Arrhenius rates,van ’t Hoff equation,A,university,hard
1718,Which model describes phonons in a crystal?,Debye model,Einstein model,Nernst model,Arrhenius model,A,university,hard
1719,The Grüneisen parameter describes:,thermal expansion coefficient,specific heat,melting point,stored energy,A,university,hard
1720,"At low temperatures in metals, resistivity is dominated by:",residual resistivity,phonon scattering,electron–electron scattering,impurity scattering,A,university,hard
1721,The Wiedemann–Franz law relates:,thermal and electrical conductivities,viscosity and conductivity,specific heat and expansion,pressure and volume,A,university,hard
1722,"In NMR, chemical shift δ is referenced to:",TMS (tetramethylsilane),water,acetone,benzene,A,university,hard
1723,"In EPR spectroscopy, g-factor deviation indicates:",spin–orbit coupling strength,magnetic field strength,temperature,electron count,A,university,hard
1724,Which NMR coupling constant arises from cis geometry?,vicinal ~10 Hz,geminal ~15 Hz,long-range ~1 Hz,none,A,university,hard
1725,Laporte’s rule forbids:,d–d transitions in centrosymmetric complexes,p→p,n→n,σ→σ,A,university,hard
1726,The Jahn–Teller effect is strongest for which octahedral configuration?,high-spin d₉,d₀,d₅,d₃,A,university,hard
1727,The Debye–Hückel limiting law applies at low:,ionic strength,concentration,pressure,temperature,A,university,hard
1728,The Nernst–Planck equation describes:,ion flux under concentration and electric potential gradients,diffusion only,convection only,migration only,A,university,hard
1729,"In cyclic voltammetry, a reversible one-electron process shows peak separation of:",59 mV,100 mV,10 mV,150 mV,A,university,hard
1730,The Butler–Volmer equation describes:,electrode kinetics,bulk kinetics,activation energy,heat flow,A,university,hard
1731,The Tafel slope is:,2.303 RT/αnF,RT/F,RT/2F,RT/,A,university,hard
1732,"In mass spectrometry (ESI), multiply charged ions form by:",protonation in solution,fragmentation,radical formation,electron capture,A,university,hard
1733,MALDI uses:,laser desorption,matrix evaporation,electrospray,chemical ionization,A,university,hard
1734,The Debye length scales as:,1/√I,1/I,I,√I,A,university,hard
1735,The zeta potential indicates:,surface charge at the shear plane,bulk pH,ionic strength,viscosity,A,university,hard
1736,The Pockels effect is:,linear electro-optic,nonlinear electro-optic,magneto-optic,photoelectric,A,university,hard
1737,Second-harmonic generation requires:,non-centrosymmetric crystals,all crystals,amorphous materials,metals,A,university,hard
1738,The Stern–Volmer plot for dynamic quenching is:,linear vs [Q],nonlinear vs [Q],linear vs 1/[Q],none,A,university,hard
1739,FRET efficiency ∝:,1/r⁶,1/r²,1/r⁴,1/r⁸,A,university,hard
1740,The Born–Oppenheimer approximation assumes:,electronic and nuclear motion can be separated,nuclear repulsion is negligible,kinetic energy is constant,spin–orbit coupling is zero,A,university,hard
1741,The partition function in the microcanonical ensemble is:,number of accessible states,energy levels,pressure,temperature,A,university,hard
1742,The quantum yield of fluorescence is:,photons emitted/photons absorbed,molecules excited/photons absorbed,photons absorbed/photons emitted,molecules excited/photons emitted,A,university,hard
1743,Marcus inverted region occurs when:,driving force exceeds reorganization energy,driving force is zero,reorganization energy is zero,temperature is too high,A,university,hard
1744,The Hamaker constant quantifies:,van der Waals attraction between particles,elastic modulus,dielectric constant,viscosity,A,university,hard
1745,A Weinhold analysis provides:,natural bond orbital energies,partial charges,enthalpies,entropy,A,university,hard
1746,The Pitzer equations correct for:,activity coefficients at high ionic strength,low ionic strength,pressure,temperature,A,university,hard
1747,The Eyring equation relates rate constant to:,activation enthalpy and entropy,activation energy only,temperature only,concentration only,A,university,hard
1748,The van’t Hoff enthalpy ΔH_vH derives from:,temperature dependence of K,pressure dependence of K,heat capacity only,entropy only,A,university,hard
1749,The Kirkwood–Buff integrals relate:,radial distribution functions to thermodynamic properties,spectral lines to concentrations,pKa to pKb,none,A,university,hard
1750,The Fluctuation–dissipation theorem connects:,response functions to spontaneous fluctuations,kinetic energy to potential energy,pressure to volume,entropy to temperature,A,university,hard
1751,The Green–Kubo relations compute:,transport coefficients from time-correlation functions,rate constants from activation energy,entropy from heat capacity,inversion temperature,A,university,hard
